name,carry-on compliance,Aeroflot,AeroMexico,Air Canada,Air China,Air France,Air New Zealand,Air Transat,AirAsia,Alaska Airlines,American Airlines,ANA,Asiana Airlines,Austrian Airlines,British Airways,Cathay Pacific,China Airlines,China Eastern,China Southern,Delta,easyJet,Emirates,Etihad Airways,Eva Airways,Fiji Airways,Frontier Airlines,Hainan Airlines,Hawaiian,Iberia,Icelandair,Indigo,Japan Airlines,Jet2.com,jetBlue Airways,Jetstar,Juneyao Airlines,KLM,Korean Air,LATAM Airlines,Lufthansa,Qantas,Qatar Airways,Ryanair,SAUDIA,Shenzhen Airlines,Singapore Airlines,Southwest Airlines,Spirit Airlines,Swiss,Thai Airways,Turkish Airlines,United Airlines,Virgin Atlantic,Vueling,WestJet,Wizz Air,Xiamen Airlines,,,,,,,,
Aer Pro Pack 24L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer Tech Pack 2,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer Tech Pack 3 X-Pac,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer Travel Pack 2,75%,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
Aer Travel Pack 3 Small,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer Travel Pack 3 X-Pac,77%,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✔,,,,,,,,
Alchemy Equipment Daypack,75%,✔,✔,✔,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✔,✗,✔,✗,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✗,,,,,,,,
Alpha One-Niner Evade 1.5 Backpack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Alpha One-Niner Recon Nine Evade 1.5 (Lite),93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Alpha One-Niner Whitley Backpack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
