name,carry-on compliance,Aeroflot,AeroMexico,Air Canada,Air China,Air France,Air New Zealand,Air Transat,AirAsia,Alaska Airlines,American Airlines,ANA,Asiana Airlines,Austrian Airlines,British Airways,Cathay Pacific,China Airlines,China Eastern,China Southern,Delta,easyJet,Emirates,Etihad Airways,Eva Airways,Fiji Airways,Frontier Airlines,Hainan Airlines,Hawaiian,Iberia,Icelandair,Indigo,Japan Airlines,Jet2.com,jetBlue Airways,Jetstar,Juneyao Airlines,KLM,Korean Air,LATAM Airlines,Lufthansa,Qantas,Qatar Airways,Ryanair,SAUDIA,Shenzhen Airlines,Singapore Airlines,Southwest Airlines,Spirit Airlines,Swiss,Thai Airways,Turkish Airlines,United Airlines,Virgin Atlantic,Vueling,WestJet,Wizz Air,Xiamen Airlines,,,,,,,,
Evergoods Civic Panel Loader 24L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Evergoods Civic Panel Loader 28L,82%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Evergoods Civic Travel Bag 26L,82%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Evergoods Civic Travel Bag 35L,64%,✔,✔,✔,✗,✗,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✗,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✗,✗,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,✗,✗,,,,,,,,
Everyman Hideout,82%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Exped Skyline 15,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Exped Typhoon 25,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Fjallraven Raven,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Fjallraven Skule 28,16%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✔,✗,✔,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Fjallraven Ulvö 23,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Fjallraven Ulvö Rolltop 30,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK Bullet Ruck Dynema,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK Bullet Ruck Laptop 16L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK GR1 26,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK GR1 Dynema 21,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK GR2 26,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK GR2 34,77%,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
GORUCK GR2 40,48%,✗,✗,✗,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✗,,,,,,,,
Gossamer Gear Vagabond Jet,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Graphene-x LIMITLESS Backpack,91%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Greenroom Rainmaker,98%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,
Gregory Border 18,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Hanchorr Pipe T1,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Heimplanet Monolith Daypack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Heimplanet Transit Line Travel Pack 28L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Heimplanet Transit Line Travel Pack 34L,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
HikePro Packable Backpack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Hill People Gear Hamatumara,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
ILE Default,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
ILE Radius,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Incase EO,54%,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✔,✔,✔,✔,✗,✗,✔,✔,✗,✗,✔,✔,✗,✔,✔,✔,✗,✔,✔,✗,✔,✔,✗,✗,✗,✗,✔,✗,✔,✗,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,✗,✗,,,,,,,,
Jansport Gnarly Gnapsack 30,91%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Jansport Main Campus,82%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Jansport Odyssey,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Jansport Right Pack,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Jansport Superbreak,82%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Jansport West Break,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Kifaru Antero,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
KS Ultralight KS27,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
L.L.Bean Stowaway Pack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Matador Beast28 Packable Backpack,46%,✗,✗,✗,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✔,✗,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✗,,,,,,,,
Matador SEG28 Backpack,39%,✔,✔,✗,✗,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✗,✔,✗,✗,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✔,,,,,,,,
Millican Smith 15L,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Millican Smith 18L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Millican Smith 25L,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Minaal Carry-on 3.0,86%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✗,✗,,,,,,,,
"Minaal Daily 3,0",95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Mixed Works Falcon S,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Moment Everything Backpack 17L Overnight,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Moment Everything Backpack 21L Overnight,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Mountainsmith Divide,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Mystery Ranch In & Out,79%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✗,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Mystery Ranch Scree 22,38%,✔,✔,✗,✗,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✗,✔,✗,✗,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Mystery Ranch Scree 32,0%,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Nomatic Backpack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Nomatic Navigator Collapsible Pack 16L,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Nomatic Travel Bag 30L,80%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Nomatic Travel Bag 40L,63%,✔,✔,✔,✗,✗,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✗,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✗,✗,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,,,,,,,,
Nomatic Travel Pack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Northface Base Camp Voyager Daypack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Northface Base Camp Voyager Travel Pack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Northface Voyager Duffle,11%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Osprey Aoede Airspeed Backpack,80%,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✔,✔,✔,✗,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Osprey Aoede Briefpack,41%,✔,✔,✗,✗,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✗,✗,✗,✔,✗,✗,✔,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✗,✔,✗,✗,✔,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,✗,✗,✔,,,,,,,,
Osprey Daylite Carry-On Travel Pack 35,7%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
Osprey Daylite Expandable Travel Pack 26+6,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Osprey Daylite Expandable Travel Pack 26+6 (2024),95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Osprey Fairview,45%,✗,✗,✗,✗,✗,✔,✗,✔,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✗,✗,✗,✔,✔,✗,✔,✗,✔,✔,✗,✗,✗,✔,✔,✔,✔,✗,✗,✗,✗,✔,✗,✗,✔,✔,✔,✔,✔,✗,✔,✗,✗,✔,✗,✗,✗,✗,,,,,,,,
Osprey Farpoint 40,55%,✔,✔,✔,✗,✗,✔,✗,✗,✗,✔,✔,✗,✔,✔,✔,✔,✔,✗,✗,✗,✗,✔,✔,✔,✔,✗,✗,✔,✗,✗,✔,✔,✗,✔,✔,✗,✗,✗,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✗,✗,✗,,,,,,,,
Osprey Nebula,14%,✗,✗,✗,✗,✗,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✔,✔,✔,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,,,,,,
